id	Group	p_value	p.adjust	convert.median	convert.mean	group1	length1	median1	mean1	group2	length2	median2	mean2	non0.length1	non0.length2
1	UNMAPPED	B1_B0	0.130072792698052	1	0.028056	0.0383849803921569	B1	51	0.466495	0.445132294117647	B0	51	0.494551	0.483517274509804	50	50
2	UNINTEGRATED	B1_B0	0.114237651621734	1	-0.028212	-0.0393562058823529	B1	51	0.516106	0.523034433333333	B0	51	0.487894	0.48367822745098	50	50
3	1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	B1_B0	1	1	0	6.32243333333333e-06	B1	51	0	5.56309803921569e-06	B0	51	0	1.1885531372549e-05	2	3
4	ANAEROFRUCAT-PWY: homolactic fermentation	B1_B0	0.0519129649350183	1	0	3.52361392156863e-05	B1	51	0	2.31165078431373e-05	B0	51	0	5.83526470588235e-05	3	7
5	ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	B1_B0	0.732306833608737	1	0	2.69379882352941e-05	B1	51	0	7.42836784313726e-05	B0	51	0	0.000101221666666667	11	13
6	ARGORNPROST-PWY: arginine, ornithine and proline interconversion	B1_B0	1	1	0	-8.9518431372549e-07	B1	51	0	8.9518431372549e-07	B0	51	0	0	1	0
7	ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	B1_B0	0.371093369522698	1	0	8.91271176470588e-06	B1	51	0	0	B0	51	0	8.91271176470588e-06	2	0
8	ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	B1_B0	0.0591720678258594	1	0	1.22979274509804e-05	B1	51	0	1.93460392156863e-06	B0	51	0	1.4232531372549e-05	2	6
9	ARO-PWY: chorismate biosynthesis I	B1_B0	0.812896878972329	1	0	2.49007078431372e-05	B1	51	0	7.81758352941176e-05	B0	51	0	0.000103076543137255	12	13
10	ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	B1_B0	0.660281507172254	1	0	-6.84804980392157e-06	B1	51	0	2.61323301960784e-05	B0	51	0	1.92842803921569e-05	10	8
11	AST-PWY: L-arginine degradation II (AST pathway)	B1_B0	1	1	0	2.19011764705882e-06	B1	51	0	0	B0	51	0	2.19011764705882e-06	1	0
12	BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	B1_B0	1	1	0	2.51382352941176e-06	B1	51	0	0	B0	51	0	2.51382352941176e-06	1	0
13	BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	B1_B0	0.441208519505878	1	0	1.17363490196078e-05	B1	51	0	1.41228980392157e-05	B0	51	0	2.58592470588235e-05	5	6
14	CALVIN-PWY: Calvin-Benson-Bassham cycle	B1_B0	0.313300386857646	1	0	3.28138e-05	B1	51	0	5.04528921568627e-05	B0	51	0	8.32666921568627e-05	9	12
15	CITRULBIO-PWY: L-citrulline biosynthesis	B1_B0	1	1	0	-2.46958039215687e-07	B1	51	0	3.86581176470588e-06	B0	51	0	3.6188537254902e-06	4	7
16	COA-PWY-1: coenzyme A biosynthesis II (mammalian)	B1_B0	0.323255783378716	1	4.8717e-05	-4.88201960784345e-07	B1	51	0.00055615	0.000718394280392157	B0	51	0.000604867	0.000717906078431373	39	37
17	COA-PWY: coenzyme A biosynthesis I	B1_B0	0.499212398073463	1	-8.69110000000001e-05	-7.1025680392157e-05	B1	51	0.000916487	0.00101854615098039	B0	51	0.000829576	0.000947520470588235	49	48
18	COLANSYN-PWY: colanic acid building blocks biosynthesis	B1_B0	1	1	0	-9.99303921568628e-07	B1	51	0	1.20595882352941e-06	B0	51	0	2.06654901960784e-07	1	1
19	COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	B1_B0	0.850618403625297	1	0	1.90246176470588e-05	B1	51	0	7.00687352941176e-05	B0	51	0	8.90933529411765e-05	8	10
20	DAPLYSINESYN-PWY: L-lysine biosynthesis I	B1_B0	0.18144920772142	1	0	7.72308823529412e-06	B1	51	0	0	B0	51	0	7.72308823529412e-06	3	0
21	DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	B1_B0	1	1	0	1.43773137254902e-05	B1	51	0	4.02980588235294e-05	B0	51	0	5.46753725490196e-05	9	8
22	DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I	B1_B0	0.338495154510859	1	0	3.8079837254902e-05	B1	51	0	0.000166450674509804	B0	51	0	0.000204530511764706	19	19
23	ECASYN-PWY: enterobacterial common antigen biosynthesis	B1_B0	1	1	0	2.74723529411765e-06	B1	51	0	0	B0	51	0	2.74723529411765e-06	1	0
24	FAO-PWY: fatty acid &beta;-oxidation I	B1_B0	0.371093369522698	1	0	3.82097509803922e-06	B1	51	0	0	B0	51	0	3.82097509803922e-06	2	0
25	FASYN-ELONG-PWY: fatty acid elongation -- saturated	B1_B0	0.208412803684149	1	0	4.65936078431373e-06	B1	51	0	1.17260588235294e-06	B0	51	0	5.83196666666667e-06	1	5
26	FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)	B1_B0	0.371093369522698	1	0	9.75964705882353e-07	B1	51	0	0	B0	51	0	9.75964705882353e-07	2	0
27	FERMENTATION-PWY: mixed acid fermentation	B1_B0	0.107327557761612	1	0	1.86666039215686e-05	B1	51	0	8.28799607843137e-06	B0	51	0	2.69546e-05	3	7
28	GALACTARDEG-PWY: D-galactarate degradation I	B1_B0	1	1	0	2.50135294117647e-06	B1	51	0	0	B0	51	0	2.50135294117647e-06	1	0
