id	Group	p_value	p.adjust	convert.median	convert.mean	group1	length1	median1	mean1	group2	length2	median2	mean2	non0.length1	non0.length2
1	UNMAPPED	high_low	0.422627801895105	1	0.038081	0.0205237537727627	high	169	0.49051	0.48640200591716	low	129	0.528591	0.506925759689922	168	129
2	UNINTEGRATED	high_low	0.665145409368037	1	-0.0453749999999999	-0.00944683001697172	high	169	0.50106	0.493132943195266	low	129	0.455685	0.483686113178295	168	129
3	1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	high_low	0.517403708748752	1	0	1.29870461400853e-05	high	169	0	7.75812130177515e-06	low	129	0	2.07451674418605e-05	9	9
4	ANAEROFRUCAT-PWY: homolactic fermentation	high_low	0.006821917706753	0.020465753120259	0	-3.6748372285675e-05	high	169	0	5.28884443786982e-05	low	129	0	1.61400720930233e-05	31	10
5	ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	high_low	0.00620902528883408	0.0186270758665022	0	-7.39752720838494e-05	high	169	0	0.000121977155029586	low	129	0	4.80018829457364e-05	53	24
6	ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	high_low	0.855355984735997	1	0	-2.72012550800422e-07	high	169	0	2.87984023668639e-07	low	129	0	1.59714728682171e-08	1	1
7	ARGORNPROST-PWY: arginine, ornithine and proline interconversion	high_low	0.283107868409533	0.8493236052286	0	-9.8870139764231e-07	high	169	0	1.18921124260355e-06	low	129	0	2.0050984496124e-07	6	2
8	ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	high_low	0.0935191231765461	0.280557369529638	0	7.37156760240356e-06	high	169	0	4.47913017751479e-07	low	129	0	7.81948062015504e-06	1	4
9	ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	high_low	0.58288310872851	1	0	-1.47596126783175e-06	high	169	0	1.29548349112426e-05	low	129	0	1.14788736434109e-05	15	9
10	ARO-PWY: chorismate biosynthesis I	high_low	1.21474779398356e-06	3.64424338195069e-06	0	-8.75901559561488e-05	high	169	0	0.00010799089704142	low	129	0	2.04007410852713e-05	60	16
11	ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	high_low	0.11241865724619	0.33725597173857	0	-1.13301845585065e-05	high	169	0	2.71768857988166e-05	low	129	0	1.58467012403101e-05	37	20
12	AST-PWY: L-arginine degradation II (AST pathway)	high_low	0.0471181344524505	0.141354403357351	0	1.16542170542636e-06	high	169	0	0	low	129	0	1.16542170542636e-06	3	0
13	BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	high_low	0.0471181344524505	0.141354403357351	0	1.71242635658915e-06	high	169	0	0	low	129	0	1.71242635658915e-06	3	0
14	BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	high_low	0.0506106702299321	0.151832010689796	0	-1.3957542121921e-05	high	169	0	2.92428816568047e-05	low	129	0	1.52853395348837e-05	26	10
15	CALVIN-PWY: Calvin-Benson-Bassham cycle	high_low	0.000668862645107574	0.00200658793532272	0	-5.54634295124077e-05	high	169	0	8.46267698224852e-05	low	129	0	2.91633403100775e-05	52	19
16	CITRULBIO-PWY: L-citrulline biosynthesis	high_low	0.077108376133878	0.231325128401634	0	-1.78054168249163e-06	high	169	0	3.9320075739645e-06	low	129	0	2.15146589147287e-06	21	8
17	COA-PWY-1: coenzyme A biosynthesis II (mammalian)	high_low	0.160273986374498	0.480821959123493	-4.2971e-05	-7.80162740057795e-05	high	169	0.000609981	0.000791402576331361	low	129	0.00056701	0.000713386302325581	142	89
18	COA-PWY: coenzyme A biosynthesis I	high_low	0.233541936239488	0.700625808718464	0.000121132	7.61808661345811e-05	high	169	0.000764402	0.000912368808284024	low	129	0.000885534	0.000988549674418605	161	129
19	COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I	high_low	0.847833787036948	1	0	4.99600940323838e-07	high	169	0	1.62890532544379e-07	low	129	0	6.62491472868217e-07	1	1
20	COLANSYN-PWY: colanic acid building blocks biosynthesis	high_low	0.079637154953437	0.238911464860311	0	-1.18456213017751e-06	high	169	0	1.18456213017751e-06	low	129	0	0	4	0
21	COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	high_low	0.000289743405206146	0.000869230215618437	0	-7.34131378606486e-05	high	169	0	9.38014928994083e-05	low	129	0	2.03883550387597e-05	48	16
22	DAPLYSINESYN-PWY: L-lysine biosynthesis I	high_low	0.143063632458158	0.429190897374475	0	8.99470173845237e-06	high	169	0	7.23678106508876e-07	low	129	0	9.71837984496124e-06	3	6
23	DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	high_low	0.000225302983198425	0.000675908949595275	0	-4.5871223503509e-05	high	169	0	6.40887142011834e-05	low	129	0	1.82174906976744e-05	44	13
24	DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I	high_low	7.72907277121973e-07	2.31872183136592e-06	0	-0.000116525975964405	high	169	0	0.000220616077514793	low	129	0	0.000104090101550388	77	23
25	ECASYN-PWY: enterobacterial common antigen biosynthesis	high_low	0.0471181344524505	0.141354403357351	0	1.90904418604651e-06	high	169	0	0	low	129	0	1.90904418604651e-06	3	0
26	FAO-PWY: fatty acid &beta;-oxidation I	high_low	0.0215986390966328	0.0647959172898984	0	2.41259325581395e-06	high	169	0	0	low	129	0	2.41259325581395e-06	4	0
27	FASYN-ELONG-PWY: fatty acid elongation -- saturated	high_low	0.913609805114246	1	0	5.47174231732489e-06	high	169	0	3.03542047337278e-06	low	129	0	8.50716279069768e-06	13	10
28	FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)	high_low	0.079637154953437	0.238911464860311	0	-6.09359763313609e-07	high	169	0	6.09359763313609e-07	low	129	0	0	4	0
29	FERMENTATION-PWY: mixed acid fermentation	high_low	0.00379580932559449	0.0113874279767835	0	-1.27747293105821e-05	high	169	0	2.26009804733728e-05	low	129	0	9.8262511627907e-06	26	6
30	FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation	high_low	0.25519837539891	0.765595126196731	0	1.6362015503876e-08	high	169	0	0	low	129	0	1.6362015503876e-08	1	0
31	FUCCAT-PWY: fucose degradation	high_low	0.25519837539891	0.765595126196731	0	2.04711627906977e-08	high	169	0	0	low	129	0	2.04711627906977e-08	1	0
32	GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation	high_low	0.25519837539891	0.765595126196731	0	8.65294573643411e-08	high	169	0	0	low	129	0	8.65294573643411e-08	1	0
33	GALACTARDEG-PWY: D-galactarate degradation I	high_low	0.0471181344524505	0.141354403357351	0	1.40857441860465e-06	high	169	0	0	low	129	0	1.40857441860465e-06	3	0
34	GALACTUROCAT-PWY: D-galacturonate degradation I	high_low	0.25519837539891	0.765595126196731	0	1.69076744186047e-07	high	169	0	0	low	129	0	1.69076744186047e-07	1	0
35	GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	high_low	0.529274724593063	1	0	-6.1289798312004e-06	high	169	0	8.6343325443787e-06	low	129	0	2.50535271317829e-06	9	5
36	GLUCARDEG-PWY: D-glucarate degradation I	high_low	0.0471181344524505	0.141354403357351	0	1.41471085271318e-06	high	169	0	0	low	129	0	1.41471085271318e-06	3	0
37	GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation	high_low	0.0471181344524505	0.141354403357351	0	1.40857441860465e-06	high	169	0	0	low	129	0	1.40857441860465e-06	3	0
38	GLUCONEO-PWY: gluconeogenesis I	high_low	0.0265495134371421	0.0796485403114264	0	-1.23019024494289e-05	high	169	0	2.16243071005917e-05	low	129	0	9.32240465116279e-06	26	9
39	GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation	high_low	0.495327733262342	1	0	-6.07650408100546e-06	high	169	0	9.4958350887574e-06	low	129	0	3.41933100775194e-06	11	6
40	GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronide and D-glucuronate degradation	high_low	0.25519837539891	0.765595126196731	0	7.01111627906977e-08	high	169	0	0	low	129	0	7.01111627906977e-08	1	0
